universo,origen,n_imputadas_ctx,pct_imputadas,n_outlier_ctx,imputadas_ultimas24h,tramo_cruza_t0
36_protocolo,2025-07-26 18:00:00+00:00,0,0.0,0,0,False
36_protocolo,2025-07-27 18:00:00+00:00,0,0.0,0,0,False
36_protocolo,2025-07-28 18:00:00+00:00,0,0.0,0,0,False
36_protocolo,2025-07-29 18:00:00+00:00,1,0.2,1,1,False
36_protocolo,2025-07-30 18:00:00+00:00,1,0.2,1,0,False
36_protocolo,2025-07-31 18:00:00+00:00,1,0.2,1,0,False
36_protocolo,2025-08-01 18:00:00+00:00,3,0.59,3,2,False
36_protocolo,2025-08-28 13:00:00+00:00,4,0.78,0,0,False
36_protocolo,2025-08-29 13:00:00+00:00,4,0.78,0,0,False
36_protocolo,2025-08-30 13:00:00+00:00,4,0.78,0,0,False
36_protocolo,2025-08-31 13:00:00+00:00,4,0.78,0,0,False
36_protocolo,2025-09-01 13:00:00+00:00,4,0.78,0,0,False
36_protocolo,2025-09-02 13:00:00+00:00,4,0.78,0,0,False
36_protocolo,2025-09-03 13:00:00+00:00,4,0.78,0,0,False
36_protocolo,2025-09-04 13:00:00+00:00,4,0.78,0,0,False
36_protocolo,2025-09-05 13:00:00+00:00,4,0.78,0,0,False
36_protocolo,2025-09-06 13:00:00+00:00,4,0.78,0,0,False
36_protocolo,2025-09-07 13:00:00+00:00,4,0.78,0,0,False
36_protocolo,2025-09-08 13:00:00+00:00,2,0.39,0,0,False
36_protocolo,2025-09-09 13:00:00+00:00,0,0.0,0,0,False
36_protocolo,2025-09-10 13:00:00+00:00,0,0.0,0,0,False
36_protocolo,2025-09-11 13:00:00+00:00,0,0.0,0,0,False
36_protocolo,2025-09-12 13:00:00+00:00,4,0.78,0,4,False
36_protocolo,2025-09-13 13:00:00+00:00,4,0.78,0,0,False
36_protocolo,2025-09-14 13:00:00+00:00,4,0.78,0,0,False
36_protocolo,2025-09-15 13:00:00+00:00,4,0.78,0,0,False
36_protocolo,2025-09-16 13:00:00+00:00,4,0.78,0,0,False
36_protocolo,2025-09-17 13:00:00+00:00,4,0.78,0,0,False
36_protocolo,2025-09-18 13:00:00+00:00,4,0.78,0,0,False
36_protocolo,2025-09-19 13:00:00+00:00,4,0.78,0,0,False
36_protocolo,2025-09-20 13:00:00+00:00,5,0.98,1,1,False
36_protocolo,2025-09-21 13:00:00+00:00,5,0.98,1,0,False
36_protocolo,2025-09-22 13:00:00+00:00,7,1.37,3,2,False
36_protocolo,2025-10-30 12:00:00+00:00,3,0.59,1,0,False
36_protocolo,2025-10-31 12:00:00+00:00,3,0.59,1,0,False
36_protocolo,2025-11-01 12:00:00+00:00,3,0.59,1,0,False
188_bloques,2024-06-07 15:00:00+00:00,5,0.98,5,0,False
188_bloques,2024-06-08 15:00:00+00:00,4,0.78,4,0,False
188_bloques,2024-06-09 15:00:00+00:00,4,0.78,4,0,False
188_bloques,2024-06-10 15:00:00+00:00,4,0.78,4,0,False
188_bloques,2024-07-04 14:00:00+00:00,1,0.2,1,0,False
188_bloques,2024-07-05 14:00:00+00:00,1,0.2,1,0,False
188_bloques,2024-07-06 14:00:00+00:00,1,0.2,1,0,False
188_bloques,2024-07-07 14:00:00+00:00,1,0.2,1,0,False
188_bloques,2024-07-08 14:00:00+00:00,1,0.2,1,0,False
188_bloques,2024-07-09 14:00:00+00:00,3,0.59,1,2,False
188_bloques,2024-07-10 14:00:00+00:00,3,0.59,1,0,False
188_bloques,2024-07-11 14:00:00+00:00,3,0.59,1,0,False
188_bloques,2024-07-12 14:00:00+00:00,3,0.59,1,0,False
188_bloques,2024-07-13 14:00:00+00:00,3,0.59,1,0,False
188_bloques,2024-07-14 14:00:00+00:00,3,0.59,1,0,False
188_bloques,2024-07-15 14:00:00+00:00,3,0.59,1,0,False
188_bloques,2024-07-16 14:00:00+00:00,3,0.59,1,0,False
188_bloques,2024-07-17 14:00:00+00:00,2,0.39,0,0,False
188_bloques,2024-07-18 14:00:00+00:00,2,0.39,0,0,False
188_bloques,2024-07-19 14:00:00+00:00,2,0.39,0,0,False
