baseline,H,MAE,RMSE
naive24,6,4.9135615079365085,6.140129794563419
naive24,12,4.94192791005291,6.321262572235592
naive24,24,4.791230158730159,6.186517759379048
naive24,48,5.163887648809524,6.543748809025371
naive168,6,5.763287037037037,7.188358230005996
naive168,12,5.855882936507936,7.359209939019875
naive168,24,5.937678158068784,7.29355970416884
naive168,48,6.0714889219576715,7.460372238864424
persistencia,6,4.316669973544974,5.616681202964361
persistencia,12,4.81478587962963,6.394488825969545
persistencia,24,4.853804976851852,6.3070300180879215
persistencia,48,5.249392361111112,6.652103382698471
ETS,6,4.362373806709375,5.568731449443823
ETS,12,4.6662480545419625,6.083660761760628
ETS,24,4.696423239383775,6.0006160377264495
ETS,48,5.050551182003896,6.345381653172666
SARIMA,6,4.2421680001921445,5.4863376450519254
SARIMA,12,4.948014433747481,6.430421340955724
SARIMA,24,5.441210848794653,6.846656918439944
SARIMA,48,6.737639518229333,8.347945448347392
