universo,tipo,A,B,H,valor,IC_lo,IC_hi
36,MAE,xgb_E1,,6,3.428,2.96,4.027
36,MAE,xgb_E3,,6,3.491,3.001,4.093
36,MAE,c2_zs_F_C256,,6,3.471,2.944,4.064
36,MAE,c2_zs_U_C512,,6,3.631,3.109,4.306
36,MAE,c2_zs_F_C512,,6,3.64,3.096,4.303
36,MAE,ttm_zs_U,,6,3.676,3.217,4.251
36,MAE,ttm_ft5_F,,6,3.588,3.122,4.19
36,MAE,ens_ctx_F,,6,3.536,3.008,4.149
36,MAE,c2_lora_U,,6,3.658,3.147,4.287
36,MAE,c2_full_U,,6,3.938,3.346,4.644
188,MAE,xgb_E1,,6,3.688,3.317,4.117
188,MAE,c2_zs_F_C256,,6,3.627,3.203,4.076
188,MAE,ttm_ft5_F,,6,4.143,3.68,4.642
188,MAE,ttm_zs_U,,6,3.627,3.218,4.079
36,dif,c2_zs_F_C256,xgb_E1,6,0.042,-0.211,0.341
36,dif,c2_zs_F_C256,ttm_ft5_F,6,-0.117,-0.364,0.095
36,dif,ens_ctx_F,c2_zs_F_C512,6,-0.105,-0.254,0.033
36,dif,c2_lora_U,c2_zs_U_C512,6,0.027,-0.11,0.138
36,dif,c2_full_U,c2_zs_U_C512,6,0.307,0.1,0.521
188,dif,c2_zs_F_C256,xgb_E1,6,-0.062,-0.332,0.211
188,dif,c2_zs_F_C256,ttm_ft5_F,6,-0.517,-0.785,-0.221
36,MAE,xgb_E1,,12,3.73,3.216,4.374
36,MAE,xgb_E3,,12,3.76,3.237,4.419
36,MAE,c2_zs_F_C256,,12,3.688,3.18,4.257
36,MAE,c2_zs_U_C512,,12,4.009,3.479,4.659
36,MAE,c2_zs_F_C512,,12,3.951,3.419,4.602
36,MAE,ttm_zs_U,,12,3.915,3.431,4.504
36,MAE,ttm_ft5_F,,12,3.715,3.24,4.306
36,MAE,ens_ctx_F,,12,3.753,3.249,4.35
36,MAE,c2_lora_U,,12,3.949,3.446,4.537
36,MAE,c2_full_U,,12,4.29,3.709,4.985
188,MAE,xgb_E1,,12,4.068,3.66,4.544
188,MAE,c2_zs_F_C256,,12,3.846,3.453,4.298
188,MAE,ttm_ft5_F,,12,4.302,3.872,4.766
188,MAE,ttm_zs_U,,12,3.91,3.508,4.375
36,dif,c2_zs_F_C256,xgb_E1,12,-0.042,-0.38,0.294
36,dif,c2_zs_F_C256,ttm_ft5_F,12,-0.026,-0.267,0.182
36,dif,ens_ctx_F,c2_zs_F_C512,12,-0.198,-0.375,-0.038
36,dif,c2_lora_U,c2_zs_U_C512,12,-0.059,-0.253,0.092
36,dif,c2_full_U,c2_zs_U_C512,12,0.281,0.032,0.562
188,dif,c2_zs_F_C256,xgb_E1,12,-0.222,-0.531,0.076
188,dif,c2_zs_F_C256,ttm_ft5_F,12,-0.456,-0.671,-0.219
36,MAE,xgb_E1,,24,3.921,3.401,4.464
36,MAE,xgb_E3,,24,3.927,3.434,4.475
36,MAE,c2_zs_F_C256,,24,3.779,3.289,4.235
36,MAE,c2_zs_U_C512,,24,4.119,3.635,4.622
36,MAE,c2_zs_F_C512,,24,3.91,3.387,4.453
36,MAE,ttm_zs_U,,24,4.001,3.572,4.462
36,MAE,ttm_ft5_F,,24,3.777,3.309,4.268
36,MAE,ens_ctx_F,,24,3.794,3.271,4.299
36,MAE,c2_lora_U,,24,4.027,3.516,4.537
36,MAE,c2_full_U,,24,4.529,3.912,5.165
188,MAE,xgb_E1,,24,4.518,3.992,5.129
188,MAE,c2_zs_F_C256,,24,4.225,3.741,4.785
188,MAE,ttm_ft5_F,,24,4.772,4.224,5.378
188,MAE,ttm_zs_U,,24,4.339,3.827,4.936
36,dif,c2_zs_F_C256,xgb_E1,24,-0.142,-0.396,0.091
36,dif,c2_zs_F_C256,ttm_ft5_F,24,0.003,-0.223,0.202
36,dif,ens_ctx_F,c2_zs_F_C512,24,-0.116,-0.246,0.005
36,dif,c2_lora_U,c2_zs_U_C512,24,-0.093,-0.258,0.049
36,dif,c2_full_U,c2_zs_U_C512,24,0.41,0.087,0.788
188,dif,c2_zs_F_C256,xgb_E1,24,-0.293,-0.677,0.051
188,dif,c2_zs_F_C256,ttm_ft5_F,24,-0.547,-0.769,-0.29
36,MAE,xgb_E1,,48,4.388,3.841,4.927
36,MAE,xgb_E3,,48,4.372,3.874,4.893
36,MAE,c2_zs_F_C256,,48,4.018,3.488,4.475
36,MAE,c2_zs_U_C512,,48,4.535,4.083,4.971
36,MAE,c2_zs_F_C512,,48,4.095,3.53,4.605
36,MAE,ttm_zs_U,,48,4.424,3.954,4.861
36,MAE,ttm_ft5_F,,48,4.195,3.726,4.646
36,MAE,ens_ctx_F,,48,3.984,3.431,4.473
36,MAE,c2_lora_U,,48,4.474,3.96,4.957
36,MAE,c2_full_U,,48,5.146,4.481,5.822
188,MAE,xgb_E1,,48,5.071,4.425,5.815
188,MAE,c2_zs_F_C256,,48,4.698,4.128,5.341
188,MAE,ttm_ft5_F,,48,5.285,4.608,6.057
188,MAE,ttm_zs_U,,48,4.86,4.244,5.607
36,dif,c2_zs_F_C256,xgb_E1,48,-0.37,-0.729,-0.048
36,dif,c2_zs_F_C256,ttm_ft5_F,48,-0.177,-0.532,0.118
36,dif,ens_ctx_F,c2_zs_F_C512,48,-0.111,-0.288,0.051
36,dif,c2_lora_U,c2_zs_U_C512,48,-0.06,-0.269,0.09
36,dif,c2_full_U,c2_zs_U_C512,48,0.611,0.196,1.076
188,dif,c2_zs_F_C256,xgb_E1,48,-0.373,-0.792,-0.025
188,dif,c2_zs_F_C256,ttm_ft5_F,48,-0.587,-0.868,-0.293
36,dif,c2_zs_F_C1024,xgb_E1,6,0.166,-0.058,0.407
36,dif,c2_zs_F_C1024,xgb_E1,12,0.153,-0.084,0.41
36,dif,c2_zs_F_C1024,xgb_E1,24,-0.043,-0.228,0.113
36,dif,c2_zs_F_C1024,xgb_E1,48,-0.241,-0.495,-0.012
