modelo,fuente_cuantil,H,nominal,cobertura,anchura_media,anchura_pct,interval_score
c2_F_C1024,nativa,6,50,41.2,4.749,19.5,11.542
c2_F_C1024,nativa,12,50,41.2,5.062,20.7,12.692
c2_F_C1024,nativa,24,50,42.71,5.404,22.1,12.402
c2_F_C1024,nativa,48,50,42.94,5.902,24.2,13.253
c2_F_C1024,nativa,6,80,70.83,9.449,38.7,16.404
c2_F_C1024,nativa,12,80,69.44,10.019,41.1,18.297
c2_F_C1024,nativa,24,80,73.61,10.764,44.1,17.754
c2_F_C1024,nativa,48,80,74.48,11.881,48.7,18.591
c2_F_C512,nativa,6,50,42.59,4.731,19.4,11.612
c2_F_C512,nativa,12,50,39.58,4.979,20.4,12.68
c2_F_C512,nativa,24,50,40.05,5.259,21.6,12.401
c2_F_C512,nativa,48,50,39.87,5.582,22.9,13.022
c2_F_C512,nativa,6,80,70.83,9.316,38.2,16.23
c2_F_C512,nativa,12,80,68.29,9.743,39.9,18.194
c2_F_C512,nativa,24,80,70.25,10.278,42.1,17.577
c2_F_C512,nativa,48,80,70.43,11.0,45.1,18.532
c2_U_C512,nativa,6,50,40.74,4.982,20.4,11.54
c2_U_C512,nativa,12,50,40.51,5.392,22.1,12.709
c2_U_C512,nativa,24,50,38.54,5.716,23.4,12.907
c2_U_C512,nativa,48,50,35.47,6.047,24.8,14.217
c2_U_C512,nativa,6,80,73.61,9.654,39.6,16.399
c2_U_C512,nativa,12,80,71.3,10.367,42.5,18.219
c2_U_C512,nativa,24,80,71.64,10.977,45.0,17.925
c2_U_C512,nativa,48,80,67.71,11.69,47.9,19.641
c2_F_C128,nativa,6,50,37.5,4.947,20.3,11.401
c2_F_C128,nativa,12,50,39.35,5.286,21.7,12.181
c2_F_C128,nativa,24,50,42.48,5.754,23.6,12.464
c2_F_C128,nativa,48,50,42.59,6.404,26.2,13.38
c2_F_C128,nativa,6,80,75.0,9.766,40.0,15.466
c2_F_C128,nativa,12,80,74.31,10.401,42.6,16.988
c2_F_C128,nativa,24,80,75.35,11.331,46.4,17.81
c2_F_C128,nativa,48,80,75.87,12.693,52.0,19.186
c2_ens_ctx_F,nativa,6,50,40.74,4.809,19.7,11.33
c2_ens_ctx_F,nativa,12,50,41.44,5.109,20.9,12.254
c2_ens_ctx_F,nativa,24,50,43.75,5.472,22.4,12.064
c2_ens_ctx_F,nativa,48,50,44.16,5.963,24.4,12.708
c2_ens_ctx_F,nativa,6,80,74.07,9.51,39.0,15.707
c2_ens_ctx_F,nativa,12,80,72.45,10.054,41.2,17.475
c2_ens_ctx_F,nativa,24,80,75.12,10.791,44.2,17.323
c2_ens_ctx_F,nativa,48,80,75.64,11.858,48.6,18.197
xgb_E1,nativa,6,50,38.89,4.986,20.4,10.998
xgb_E1,nativa,12,50,40.74,5.221,21.4,12.007
xgb_E1,nativa,24,50,41.2,5.413,22.2,12.373
xgb_E1,nativa,48,50,39.41,5.778,23.7,13.587
xgb_E1,nativa,6,80,68.98,9.056,37.1,15.863
xgb_E1,nativa,12,80,70.14,9.838,40.3,17.978
xgb_E1,nativa,24,80,71.64,10.281,42.1,18.374
xgb_E1,nativa,48,80,68.63,10.9,44.7,19.457
xgb_E3,nativa,6,50,39.81,5.097,20.9,11.213
xgb_E3,nativa,12,50,41.9,5.443,22.3,12.138
xgb_E3,nativa,24,50,42.01,5.605,23.0,12.406
xgb_E3,nativa,48,50,39.0,5.844,23.9,13.59
xgb_E3,nativa,6,80,71.76,9.319,38.2,16.079
xgb_E3,nativa,12,80,72.69,10.046,41.2,18.201
xgb_E3,nativa,24,80,73.03,10.411,42.7,18.425
xgb_E3,nativa,48,80,69.27,10.977,45.0,19.613
xgb_E1,conformal,6,50,51.39,5.929,24.3,11.108
xgb_E1,conformal,12,50,56.02,6.565,26.9,12.236
xgb_E1,conformal,24,50,54.4,6.581,27.0,12.525
xgb_E1,conformal,48,50,48.44,6.817,27.9,13.818
xgb_E1,conformal,6,80,77.31,10.766,44.1,16.011
xgb_E1,conformal,12,80,80.32,12.995,53.3,18.241
xgb_E1,conformal,24,80,79.75,13.211,54.1,18.475
xgb_E1,conformal,48,80,78.36,13.927,57.1,19.247
xgb_E3,conformal,6,50,48.15,5.934,24.3,11.492
xgb_E3,conformal,12,50,53.24,6.721,27.5,12.547
xgb_E3,conformal,24,50,53.59,6.957,28.5,12.723
xgb_E3,conformal,48,50,46.3,7.027,28.8,13.972
xgb_E3,conformal,6,80,80.09,10.974,45.0,15.959
xgb_E3,conformal,12,80,82.87,13.562,55.6,18.225
xgb_E3,conformal,24,80,81.83,13.476,55.2,18.041
xgb_E3,conformal,48,80,80.27,14.164,58.0,18.876
ttm_zs_U,conformal,6,50,37.96,5.148,21.1,11.66
ttm_zs_U,conformal,12,50,43.52,5.857,24.0,12.474
ttm_zs_U,conformal,24,50,42.94,6.074,24.9,12.579
ttm_zs_U,conformal,48,50,38.43,6.216,25.5,13.935
ttm_zs_U,conformal,6,80,72.69,10.404,42.6,16.577
ttm_zs_U,conformal,12,80,78.47,12.107,49.6,17.527
ttm_zs_U,conformal,24,80,77.89,12.146,49.8,17.332
ttm_zs_U,conformal,48,80,74.59,12.581,51.6,18.547
