config,nominal,bloque_mes,n_ventanas,cobertura,anchura_media
c2_zs_F_C256,50,2024-06,4,46.9,5.794
c2_zs_F_C256,50,2024-07,28,47.5,6.08
c2_zs_F_C256,50,2024-08,31,43.6,11.211
c2_zs_F_C256,50,2024-09,9,54.4,14.744
c2_zs_F_C256,50,2024-10,5,45.0,3.694
c2_zs_F_C256,50,2024-11,5,41.7,6.08
c2_zs_F_C256,50,2024-12,14,47.9,5.439
c2_zs_F_C256,50,2025-03,6,38.2,5.011
c2_zs_F_C256,50,2025-04,23,42.3,4.891
c2_zs_F_C256,50,2025-07,30,45.8,5.416
c2_zs_F_C256,50,2025-08,6,46.5,5.734
c2_zs_F_C256,50,2025-09,23,45.8,6.169
c2_zs_F_C256,50,2025-10,2,18.8,4.78
c2_zs_F_C256,50,2025-11,2,32.3,6.176
c2_zs_F_C256,50,TOTAL,188,45.1,6.925
c2_zs_F_C256,80,2024-06,4,85.4,12.006
c2_zs_F_C256,80,2024-07,28,80.4,11.88
c2_zs_F_C256,80,2024-08,31,72.0,23.906
c2_zs_F_C256,80,2024-09,9,85.6,32.1
c2_zs_F_C256,80,2024-10,5,75.4,7.486
c2_zs_F_C256,80,2024-11,5,72.1,11.742
c2_zs_F_C256,80,2024-12,14,79.9,10.462
c2_zs_F_C256,80,2025-03,6,70.8,9.74
c2_zs_F_C256,80,2025-04,23,73.3,9.377
c2_zs_F_C256,80,2025-07,30,77.5,10.5
c2_zs_F_C256,80,2025-08,6,84.7,11.536
c2_zs_F_C256,80,2025-09,23,73.9,11.789
c2_zs_F_C256,80,2025-10,2,36.5,9.548
c2_zs_F_C256,80,2025-11,2,60.4,12.648
c2_zs_F_C256,80,TOTAL,188,76.0,13.974
