modelo,fuente,corte,cobertura80
c2_F_C1024,nativa,dia,77.0
c2_F_C1024,nativa,noche,72.0
c2_F_C1024,nativa,mes_07,67.3
c2_F_C1024,nativa,mes_08,94.4
c2_F_C1024,nativa,mes_09,76.0
c2_F_C1024,nativa,mes_10,54.3
c2_F_C1024,nativa,mes_11,32.7
c2_ens_ctx_F,nativa,dia,78.2
c2_ens_ctx_F,nativa,noche,73.0
c2_ens_ctx_F,nativa,mes_07,73.5
c2_ens_ctx_F,nativa,mes_08,94.8
c2_ens_ctx_F,nativa,mes_09,76.6
c2_ens_ctx_F,nativa,mes_10,54.3
c2_ens_ctx_F,nativa,mes_11,30.6
xgb_E1,nativa,dia,69.0
xgb_E1,nativa,noche,68.3
xgb_E1,nativa,mes_07,78.8
xgb_E1,nativa,mes_08,82.4
xgb_E1,nativa,mes_09,66.6
xgb_E1,nativa,mes_10,50.0
xgb_E1,nativa,mes_11,41.8
xgb_E3,nativa,dia,69.2
xgb_E3,nativa,noche,69.3
xgb_E3,nativa,mes_07,78.8
xgb_E3,nativa,mes_08,83.6
xgb_E3,nativa,mes_09,67.6
xgb_E3,nativa,mes_10,54.3
xgb_E3,nativa,mes_11,36.7
xgb_E1,conformal,dia,78.2
xgb_E1,conformal,noche,78.5
xgb_E1,conformal,mes_07,86.3
xgb_E1,conformal,mes_08,93.2
xgb_E1,conformal,mes_09,76.3
xgb_E1,conformal,mes_10,63.0
xgb_E1,conformal,mes_11,53.1
xgb_E3,conformal,dia,79.2
xgb_E3,conformal,noche,81.4
xgb_E3,conformal,mes_07,87.2
xgb_E3,conformal,mes_08,94.0
xgb_E3,conformal,mes_09,78.2
xgb_E3,conformal,mes_10,63.0
xgb_E3,conformal,mes_11,60.2
ttm_ft5_F,conformal,dia,79.3
ttm_ft5_F,conformal,noche,76.9
ttm_ft5_F,conformal,mes_07,81.0
ttm_ft5_F,conformal,mes_08,87.6
ttm_ft5_F,conformal,mes_09,76.9
ttm_ft5_F,conformal,mes_10,67.4
ttm_ft5_F,conformal,mes_11,65.3
c2_F_C1024,conformal,dia,78.6
c2_F_C1024,conformal,noche,74.8
c2_F_C1024,conformal,mes_07,74.8
c2_F_C1024,conformal,mes_08,93.6
c2_F_C1024,conformal,mes_09,76.9
c2_F_C1024,conformal,mes_10,63.0
c2_F_C1024,conformal,mes_11,41.8
c2_ens_ctx_F,conformal,dia,82.5
c2_ens_ctx_F,conformal,noche,78.1
c2_ens_ctx_F,conformal,mes_07,80.5
c2_ens_ctx_F,conformal,mes_08,96.8
c2_ens_ctx_F,conformal,mes_09,80.6
c2_ens_ctx_F,conformal,mes_10,63.0
c2_ens_ctx_F,conformal,mes_11,42.9
