modelo,fuente_cuantil,nominal,h,cobertura,anchura_media
c2_F_C1024,nativa,50,1,41.67,3.773
c2_F_C1024,nativa,50,2,36.11,4.466
c2_F_C1024,nativa,50,3,47.22,4.831
c2_F_C1024,nativa,50,4,38.89,5.017
c2_F_C1024,nativa,50,5,38.89,5.172
c2_F_C1024,nativa,50,6,44.44,5.235
c2_F_C1024,nativa,50,7,33.33,5.314
c2_F_C1024,nativa,50,8,25.0,5.356
c2_F_C1024,nativa,50,9,50.0,5.394
c2_F_C1024,nativa,50,10,50.0,5.382
c2_F_C1024,nativa,50,11,50.0,5.404
c2_F_C1024,nativa,50,12,38.89,5.401
c2_F_C1024,nativa,50,13,50.0,5.443
c2_F_C1024,nativa,50,14,50.0,5.486
c2_F_C1024,nativa,50,15,44.44,5.492
c2_F_C1024,nativa,50,16,47.22,5.547
c2_F_C1024,nativa,50,17,47.22,5.637
c2_F_C1024,nativa,50,18,50.0,5.695
c2_F_C1024,nativa,50,19,41.67,5.777
c2_F_C1024,nativa,50,20,38.89,5.872
c2_F_C1024,nativa,50,21,44.44,5.954
c2_F_C1024,nativa,50,22,44.44,5.979
c2_F_C1024,nativa,50,23,27.78,6.01
c2_F_C1024,nativa,50,24,44.44,6.049
c2_F_C1024,nativa,50,25,50.0,6.051
c2_F_C1024,nativa,50,26,50.0,6.109
c2_F_C1024,nativa,50,27,41.67,6.029
c2_F_C1024,nativa,50,28,47.22,6.064
c2_F_C1024,nativa,50,29,38.89,6.143
c2_F_C1024,nativa,50,30,41.67,6.167
c2_F_C1024,nativa,50,31,33.33,6.183
c2_F_C1024,nativa,50,32,36.11,6.223
c2_F_C1024,nativa,50,33,44.44,6.276
c2_F_C1024,nativa,50,34,44.44,6.3
c2_F_C1024,nativa,50,35,30.56,6.293
c2_F_C1024,nativa,50,36,44.44,6.379
c2_F_C1024,nativa,50,37,44.44,6.447
c2_F_C1024,nativa,50,38,52.78,6.45
c2_F_C1024,nativa,50,39,50.0,6.424
c2_F_C1024,nativa,50,40,41.67,6.457
c2_F_C1024,nativa,50,41,44.44,6.564
c2_F_C1024,nativa,50,42,50.0,6.635
c2_F_C1024,nativa,50,43,44.44,6.603
c2_F_C1024,nativa,50,44,47.22,6.632
c2_F_C1024,nativa,50,45,41.67,6.725
c2_F_C1024,nativa,50,46,38.89,6.764
c2_F_C1024,nativa,50,47,38.89,6.834
c2_F_C1024,nativa,50,48,38.89,6.875
c2_F_C1024,nativa,80,1,75.0,7.641
c2_F_C1024,nativa,80,2,75.0,8.893
c2_F_C1024,nativa,80,3,69.44,9.589
c2_F_C1024,nativa,80,4,72.22,9.907
c2_F_C1024,nativa,80,5,66.67,10.219
c2_F_C1024,nativa,80,6,66.67,10.446
c2_F_C1024,nativa,80,7,63.89,10.479
c2_F_C1024,nativa,80,8,69.44,10.573
c2_F_C1024,nativa,80,9,72.22,10.615
c2_F_C1024,nativa,80,10,69.44,10.592
c2_F_C1024,nativa,80,11,66.67,10.633
c2_F_C1024,nativa,80,12,66.67,10.64
c2_F_C1024,nativa,80,13,77.78,10.808
c2_F_C1024,nativa,80,14,77.78,10.875
c2_F_C1024,nativa,80,15,77.78,10.914
c2_F_C1024,nativa,80,16,80.56,11.035
