familia,A,B,H,p,sig_nominal,holm_familia,bh_familia,holm_global,bh_global
fase_principal,E1_univariante,E1_zs_univariante,6,0.1338116751313389,False,False,False,False,False
fase_principal,E1_univariante,E2_ft_univariante_5pct,6,0.231806663318917,False,False,False,False,False
fase_principal,E1_zs_univariante,E2_ft_univariante_5pct,6,0.6193127822034693,False,False,False,False,False
fase_principal,E1_univariante,E4_ft_univariante,12,0.1407021670578475,False,False,False,False,False
fase_principal,E1_univariante,E4_ft_exog_futuras_5pct,12,0.7793517577804464,False,False,False,False,False
fase_principal,E4_ft_univariante,E4_ft_exog_futuras_5pct,12,0.069475941214552,False,False,False,False,False
fase_principal,E2_meteo_naive,E3_zs_multi_futuras,24,0.380345359954037,False,False,False,False,False
fase_principal,E2_meteo_naive,E4_ft_exog_futuras_5pct,24,0.6129773321763332,False,False,False,False,False
fase_principal,E3_zs_multi_futuras,E4_ft_exog_futuras_5pct,24,0.1542975601137547,False,False,False,False,False
fase_principal,E2_meteo_naive,E3_zs_multi_futuras,48,0.535901208990069,False,False,False,False,False
fase_principal,E2_meteo_naive,E4_ft_exog_futuras_5pct,48,0.8578013433035501,False,False,False,False,False
fase_principal,E3_zs_multi_futuras,E4_ft_exog_futuras_5pct,48,0.5803172597030707,False,False,False,False,False
entrenamiento,full_C512_U_lr2e6,zs_C512_U,6,0.0104,True,False,False,False,False
entrenamiento,full_C512_U_lr2e6,zs_C512_U,24,0.0153,True,False,False,False,False
entrenamiento,full_C512_U_lr2e6,zs_C512_U,48,0.0274,True,False,False,False,False
entrenamiento,full_C512_U_lr2e6,ft_C512_U,6,0.0085,True,False,False,False,False
entrenamiento,full_C512_U_lr2e6,ft_C512_U,24,0.0019,True,True,True,False,True
entrenamiento,full_C512_U_lr2e6,ft_C512_U,48,0.0085,True,False,False,False,False
entrenamiento,full_C512_F_lr2e6,zs_C512_F,6,0.9113,False,False,False,False,False
entrenamiento,full_C512_F_lr2e6,zs_C512_F,24,0.2665,False,False,False,False,False
entrenamiento,full_C512_F_lr2e6,zs_C512_F,48,0.1294,False,False,False,False,False
entrenamiento,full_C512_F_lr2e6,ft_C512_F,6,0.9555,False,False,False,False,False
entrenamiento,full_C512_F_lr2e6,ft_C512_F,24,0.2367,False,False,False,False,False
entrenamiento,full_C512_F_lr2e6,ft_C512_F,48,0.1294,False,False,False,False,False
entrenamiento,ft100pct_U,zs_U,6,0.3364,False,False,False,False,False
entrenamiento,ft100pct_U,zs_U,24,0.4237,False,False,False,False,False
entrenamiento,ft100pct_U,zs_U,48,0.9577,False,False,False,False,False
entrenamiento,ft100pct_U,ft5_U,6,0.6767,False,False,False,False,False
entrenamiento,ft100pct_U,ft5_U,24,0.1154,False,False,False,False,False
entrenamiento,ft100pct_U,ft5_U,48,0.1523,False,False,False,False,False
entrenamiento,ft100pct_F,ft5_F,6,0.538,False,False,False,False,False
entrenamiento,ft100pct_F,ft5_F,24,0.0813,False,False,False,False,False
entrenamiento,ft100pct_F,ft5_F,48,0.1445,False,False,False,False,False
calendario,xgb_E1_cal,E1_univariante,6,0.1361,False,False,False,False,False
