familia,modelo,escenario,n_parametros,dispositivo,t_train_s,t_inf_s,mem_gpu_pico_MB,MAE_H48,t_total_36v_s
XGBoost,xgboost,E1_univariante,,CPU,0.254521875991486,0.0071347350280524,0.0,4.388399758206473,0.5113723370013724
XGBoost,xgboost,E2_meteo_naive,,CPU,0.2843792240018956,0.0074942860276981,0.0,4.31161473872485,0.5541735209990272
XGBoost,xgboost,E3_meteo_real,,CPU,0.3380219339742325,0.0078097801387128,0.0,4.372207479653535,0.6191740189678934
Chronos-2,chronos2,E1_zs_univariante,119477664.0,GPU,0.0,0.0016354318342766,541.074944,4.534515869727841,0.0588755460339576
Chronos-2,chronos2,E2_zs_multi_pasadas,119477664.0,GPU,0.0,0.0195855588325583,1014.558208,4.407437397550654,0.7050801179720988
Chronos-2,chronos2,E3_zs_multi_futuras,119477664.0,GPU,0.0,0.0278353530819812,996.4288,4.19765583925777,1.0020727109513232
Chronos-2,chronos2,E4_ft_univariante,119477664.0,GPU,51.18485566595336,0.0063953175008969,2011.191808,4.474103009259259,51.41508709598565
Chronos-2,chronos2,E5_ft_multi_pasadas,119477664.0,GPU,55.15989166899817,0.0136212603619141,2237.453312,4.425575810185186,55.65025704202708
Chronos-2,chronos2,E6_ft_multi_futuras,119477664.0,GPU,52.012284923985135,0.0183698611654108,2264.98048,4.2299204282407405,52.673599925939925
TTM,ttm,E1_zs,805280.0,GPU+CPU,0.0,0.0003049086199435,24.589824,4.423661511805323,0.010976710317966001
TTM,ttm,E2_ft_univariante_5pct,805280.0,GPU+CPU,1.085351935995277,9.592825921976732e-05,90.339328,4.3298017330081375,1.0888053533271886
TTM,ttm,E3_ft_multi_5pct,809952.0,GPU,3.071421761997044,0.0002402443329898,1240.582656,4.329977512756983,3.0800705579846768
TTM,ttm,E4_ft_exog_futuras_5pct,842848.0,GPU,10.137917965010274,0.0003899442408173,1459.757568,4.285253035359912,10.151955957679696
