modelo,escenario,n_parametros,t_train_s,t_inf_ventana_cpu_s,t_inf_ventana_gpu_s,mem_gpu_pico_MB,dispositivo
xgboost,E1_univariante,,0.254521875991486,0.007134735028052496,,0.0,CPU
xgboost,E2_meteo_naive,,0.28437922400189564,0.0074942860276981564,,0.0,CPU
xgboost,E3_meteo_real,,0.3380219339742325,0.007809780138712894,,0.0,CPU
chronos2,E1_zs_univariante,119477664.0,0.0,,0.0016354318342766622,541.074944,GPU
chronos2,E2_zs_multi_pasadas,119477664.0,0.0,,0.01958555883255839,1014.558208,GPU
chronos2,E3_zs_multi_futuras,119477664.0,0.0,,0.027835353081981238,996.4288,GPU
chronos2,E4_ft_univariante,119477664.0,51.184855665953364,,0.006395317500896959,2011.191808,GPU
chronos2,E5_ft_multi_pasadas,119477664.0,55.15989166899817,,0.01362126036191411,2237.453312,GPU
chronos2,E6_ft_multi_futuras,119477664.0,52.012284923985135,,0.01836986116541084,2264.98048,GPU
ttm,E1_zs,805280.0,0.0,0.0002838125833982809,0.00030490861994352333,24.589824,GPU+CPU
ttm,E2_ft_univariante_5pct,805280.0,1.085351935995277,0.00026399073141402806,9.592825921976732e-05,90.339328,GPU+CPU
ttm,E3_ft_multi_5pct,809952.0,3.071421761997044,,0.00024024433298985024,1240.582656,GPU
ttm,E4_ft_exog_futuras_5pct,842848.0,10.137917965010274,,0.0003899442408173517,1459.757568,GPU
