H,modelo_A,config_A,modelo_B,config_B,MAE_A,MAE_B,dif_media,DM_HLN,p_valor,h_lag,n_ventanas
6,XGBoost,E1_univariante,Chronos-2,E1_zs_univariante,3.428415955891685,3.6314222479875755,-0.20300629209589077,-1.5348510579842694,0.13381167513133893,1,36
6,XGBoost,E1_univariante,TTM,E2_ft_univariante_5pct,3.428415955891685,3.5751431028174343,-0.14672714692574962,-1.2168411079646002,0.23180666331891708,1,36
6,Chronos-2,E1_zs_univariante,TTM,E2_ft_univariante_5pct,3.6314222479875755,3.5751431028174343,0.056279145170141175,0.5012796010787087,0.6193127822034693,1,36
12,XGBoost,E1_univariante,Chronos-2,E4_ft_univariante,3.7301645427279997,3.9494733796296293,-0.21930883690162958,-1.5073214830130433,0.14070216705784758,1,36
12,XGBoost,E1_univariante,TTM,E4_ft_exog_futuras_5pct,3.7301645427279997,3.7628001068256527,-0.0326355640976519,-0.28233213116463113,0.7793517577804464,1,36
12,Chronos-2,E4_ft_univariante,TTM,E4_ft_exog_futuras_5pct,3.9494733796296293,3.7628001068256527,0.18667327280397766,1.8727461260292966,0.06947594121455203,1,36
24,XGBoost,E2_meteo_naive,Chronos-2,E3_zs_multi_futuras,3.863869358477769,3.9756126748190987,-0.1117433163413296,-0.8884854983769934,0.38034535995403707,1,36
24,XGBoost,E2_meteo_naive,TTM,E4_ft_exog_futuras_5pct,3.863869358477769,3.809861280741515,0.054008077736254045,0.5103972278166989,0.6129773321763332,1,36
24,Chronos-2,E3_zs_multi_futuras,TTM,E4_ft_exog_futuras_5pct,3.9756126748190987,3.809861280741515,0.16575139407758363,1.4560272089690924,0.15429756011375476,1,36
48,XGBoost,E2_meteo_naive,Chronos-2,E3_zs_multi_futuras,4.31161473872485,4.197655839257771,0.11395889946707977,0.6251906127312977,0.535901208990069,2,36
48,XGBoost,E2_meteo_naive,TTM,E4_ft_exog_futuras_5pct,4.31161473872485,4.285253035359913,0.02636170336493742,0.18049976345860974,0.8578013433035501,2,36
48,Chronos-2,E3_zs_multi_futuras,TTM,E4_ft_exog_futuras_5pct,4.197655839257771,4.285253035359913,-0.08759719610214238,-0.5581172589763032,0.5803172597030707,2,36
