config_a,config_b,H,n,MAE_a,MAE_b,DM_stat,p_valor
xgb_E3,c2_zs_F_C256,6,188,3.83,3.627,1.283,0.201
xgb_E3,c2_zs_F_C256,12,188,4.262,3.846,2.641,0.009
xgb_E3,c2_zs_F_C256,24,188,4.712,4.225,2.83,0.0052
xgb_E3,c2_zs_F_C256,48,188,5.244,4.698,2.157,0.0323
xgb_E3,ttm_ft5_F,6,188,3.83,4.143,-1.835,0.068
xgb_E3,ttm_ft5_F,12,188,4.262,4.302,-0.243,0.8084
xgb_E3,ttm_ft5_F,24,188,4.712,4.772,-0.382,0.7032
xgb_E3,ttm_ft5_F,48,188,5.244,5.285,-0.18,0.8577
c2_zs_F_C256,ttm_ft5_F,6,188,3.627,4.143,-3.568,0.0005
c2_zs_F_C256,ttm_ft5_F,12,188,3.846,4.302,-4.125,0.0001
c2_zs_F_C256,ttm_ft5_F,24,188,4.225,4.772,-4.715,0.0
c2_zs_F_C256,ttm_ft5_F,48,188,4.698,5.285,-3.549,0.0005
xgb_E1,c2_zs_U_C512,6,188,3.688,3.664,0.169,0.8662
xgb_E1,c2_zs_U_C512,12,188,4.068,3.885,1.197,0.233
xgb_E1,c2_zs_U_C512,24,188,4.518,4.303,1.309,0.1922
xgb_E1,c2_zs_U_C512,48,188,5.071,4.877,0.838,0.4029
xgb_E1,ttm_zs_U,6,188,3.688,3.627,0.531,0.5961
xgb_E1,ttm_zs_U,12,188,4.068,3.91,1.325,0.1869
xgb_E1,ttm_zs_U,24,188,4.518,4.339,1.494,0.1368
xgb_E1,ttm_zs_U,48,188,5.071,4.86,1.309,0.192
c2_zs_U_C512,ttm_zs_U,6,188,3.664,3.627,0.447,0.6555
c2_zs_U_C512,ttm_zs_U,12,188,3.885,3.91,-0.317,0.7517
c2_zs_U_C512,ttm_zs_U,24,188,4.303,4.339,-0.394,0.6941
c2_zs_U_C512,ttm_zs_U,48,188,4.877,4.86,0.116,0.9078
xgb_E1,xgb_E3,6,188,3.688,3.83,-2.392,0.0178
xgb_E1,xgb_E3,12,188,4.068,4.262,-3.172,0.0018
xgb_E1,xgb_E3,24,188,4.518,4.712,-2.821,0.0053
xgb_E1,xgb_E3,48,188,5.071,5.244,-1.754,0.0811
c2_zs_F_C256,c2_zs_U_C512,6,188,3.627,3.664,-0.616,0.5386
c2_zs_F_C256,c2_zs_U_C512,12,188,3.846,3.885,-0.571,0.5686
c2_zs_F_C256,c2_zs_U_C512,24,188,4.225,4.303,-1.098,0.2737
c2_zs_F_C256,c2_zs_U_C512,48,188,4.698,4.877,-1.637,0.1033
ttm_ft5_F,ttm_zs_U,6,188,4.143,3.627,4.262,0.0
ttm_ft5_F,ttm_zs_U,12,188,4.302,3.91,4.089,0.0001
ttm_ft5_F,ttm_zs_U,24,188,4.772,4.339,4.606,0.0
ttm_ft5_F,ttm_zs_U,48,188,5.285,4.86,3.462,0.0007
