H,A,B,MAE_A,MAE_B,DM,p
6,c2_zs_F_C256,xgb_E1,3.626641944892017,3.6883861575524013,-0.4459111693206555,0.6561772661172469
6,c2_zs_F_C256,ttm_zs_U,3.626641944892017,3.627428763673661,-0.008435946603915615,0.9932781610918755
6,ttm_zs_U,xgb_E1,3.627428763673661,3.6883861575524013,-0.5309347728155906,0.5960939903717191
12,c2_zs_F_C256,xgb_E1,3.8457817535028394,4.068017957212653,-1.6449990437247457,0.10164991025821646
12,c2_zs_F_C256,ttm_zs_U,3.8457817535028394,3.90964409271876,-0.799319645274567,0.42511920514277834
12,ttm_zs_U,xgb_E1,3.90964409271876,4.068017957212653,-1.3245531506097232,0.18693587043026794
24,c2_zs_F_C256,xgb_E1,4.224840058133958,4.518333805736005,-1.8573508765427058,0.06483370255656062
24,c2_zs_F_C256,ttm_zs_U,4.224840058133958,4.3391049938658455,-1.2288115192318696,0.22068660298026144
24,ttm_zs_U,xgb_E1,4.3391049938658455,4.518333805736005,-1.4943679114039428,0.13676498654882208
48,c2_zs_F_C256,xgb_E1,4.697924140372456,5.0712822732837,-1.6626613167183038,0.09805545447541464
48,c2_zs_F_C256,ttm_zs_U,4.697924140372456,4.8599785151532355,-1.1645873152260293,0.24566962880465115
48,ttm_zs_U,xgb_E1,4.8599785151532355,5.0712822732837,-1.3108706762733375,0.19150899025748358
