con_calendario,sin_calendario,H,MAE_cal,MAE_ref,delta,DM_stat,p_valor
xgb_E1_cal,E1_univariante,6,3.387,3.428,-0.042,-1.525,0.1361
xgb_E1_cal,E1_univariante,12,3.692,3.73,-0.038,-1.727,0.093
xgb_E1_cal,E1_univariante,24,3.86,3.921,-0.061,-2.016,0.0516
xgb_E1_cal,E1_univariante,48,4.329,4.388,-0.06,-1.54,0.1325
xgb_E3_cal,E3_meteo_real,6,3.481,3.491,-0.01,-0.27,0.7884
xgb_E3_cal,E3_meteo_real,12,3.749,3.76,-0.012,-0.448,0.6568
xgb_E3_cal,E3_meteo_real,24,3.903,3.927,-0.024,-0.867,0.3916
xgb_E3_cal,E3_meteo_real,48,4.337,4.372,-0.035,-0.957,0.3453
c2_zs_U_cal,zs_C512_U,6,3.727,3.631,0.096,1.015,0.317
c2_zs_U_cal,zs_C512_U,12,4.005,4.009,-0.003,-0.035,0.9724
c2_zs_U_cal,zs_C512_U,24,4.044,4.119,-0.076,-0.746,0.4607
c2_zs_U_cal,zs_C512_U,48,4.399,4.535,-0.136,-0.688,0.4959
c2_zs_F_cal,zs_C512_F,6,3.664,3.64,0.023,0.38,0.7063
c2_zs_F_cal,zs_C512_F,12,3.931,3.951,-0.02,-0.292,0.772
c2_zs_F_cal,zs_C512_F,24,3.95,3.91,0.04,0.68,0.5013
c2_zs_F_cal,zs_C512_F,48,4.185,4.095,0.09,1.01,0.3193
