nueva,referencia,H,MAE_nueva,MAE_ref,DM_stat,p_valor
full_C512_U_lr2e6,zs_C512_U,6,3.938,3.631,2.706,0.0104
full_C512_U_lr2e6,zs_C512_U,24,4.529,4.119,2.549,0.0153
full_C512_U_lr2e6,zs_C512_U,48,5.146,4.535,2.302,0.0274
full_C512_U_lr2e6,ft_C512_U,6,3.938,3.658,2.788,0.0085
full_C512_U_lr2e6,ft_C512_U,24,4.529,4.027,3.361,0.0019
full_C512_U_lr2e6,ft_C512_U,48,5.146,4.474,2.791,0.0085
full_C512_F_lr2e6,zs_C512_F,6,3.63,3.64,-0.112,0.9113
full_C512_F_lr2e6,zs_C512_F,24,4.025,3.91,1.129,0.2665
full_C512_F_lr2e6,zs_C512_F,48,4.368,4.095,1.553,0.1294
full_C512_F_lr2e6,ft_C512_F,6,3.63,3.626,0.056,0.9555
full_C512_F_lr2e6,ft_C512_F,24,4.025,3.933,1.204,0.2367
full_C512_F_lr2e6,ft_C512_F,48,4.368,4.125,1.553,0.1294
ft100pct_U,zs_U,6,3.596,3.676,-0.975,0.3364
ft100pct_U,zs_U,24,3.946,4.001,-0.81,0.4237
ft100pct_U,zs_U,48,4.428,4.424,0.053,0.9577
ft100pct_U,ft5_U,6,3.596,3.575,0.42,0.6767
ft100pct_U,ft5_U,24,3.946,3.869,1.615,0.1154
ft100pct_U,ft5_U,48,4.428,4.33,1.463,0.1523
ft100pct_F,ft5_F,6,3.521,3.588,-0.622,0.538
ft100pct_F,ft5_F,24,3.934,3.777,1.795,0.0813
ft100pct_F,ft5_F,48,4.425,4.195,1.493,0.1445
