mejora,referencia,H,MAE_mejora,MAE_ref,delta,DM_stat,p_valor
xgb_dir_U,xgb_rec_E1,6,3.411,3.428,-0.017,-0.204,0.8399
xgb_dir_U,xgb_rec_E1,12,3.699,3.73,-0.031,-0.386,0.7021
xgb_dir_U,xgb_rec_E1,24,3.82,3.921,-0.101,-1.389,0.1738
xgb_dir_U,xgb_rec_E1,48,4.293,4.388,-0.095,-0.789,0.4354
xgb_dir_F,xgb_rec_E3,6,3.468,3.491,-0.023,-0.314,0.7553
xgb_dir_F,xgb_rec_E3,12,3.769,3.76,0.009,0.11,0.9129
xgb_dir_F,xgb_rec_E3,24,3.881,3.927,-0.047,-0.523,0.6044
xgb_dir_F,xgb_rec_E3,48,4.328,4.372,-0.044,-0.3,0.7658
xgb_rec_E1_sesgo,xgb_rec_E1,6,4.349,3.428,0.92,2.741,0.0096
xgb_rec_E1_sesgo,xgb_rec_E1,12,4.615,3.73,0.885,2.897,0.0065
xgb_rec_E1_sesgo,xgb_rec_E1,24,4.739,3.921,0.818,2.58,0.0142
xgb_rec_E1_sesgo,xgb_rec_E1,48,5.138,4.388,0.75,2.518,0.0165
xgb_rec_E3_sesgo,xgb_rec_E3,6,4.251,3.491,0.76,2.504,0.0171
xgb_rec_E3_sesgo,xgb_rec_E3,12,4.486,3.76,0.725,2.694,0.0108
xgb_rec_E3_sesgo,xgb_rec_E3,24,4.598,3.927,0.671,2.304,0.0273
xgb_rec_E3_sesgo,xgb_rec_E3,48,5.003,4.372,0.63,2.254,0.0306
c2_zs_U_C256_sesgo,c2_zs_U_C256,6,4.322,3.631,0.691,1.914,0.0638
c2_zs_U_C256_sesgo,c2_zs_U_C256,12,4.452,3.883,0.569,1.727,0.093
c2_zs_U_C256_sesgo,c2_zs_U_C256,24,4.466,3.974,0.492,1.525,0.1363
c2_zs_U_C256_sesgo,c2_zs_U_C256,48,4.7,4.409,0.291,0.994,0.327
c2_zs_U_C512_sesgo,c2_zs_U_C512,6,4.515,3.631,0.883,2.45,0.0194
c2_zs_U_C512_sesgo,c2_zs_U_C512,12,4.602,4.009,0.593,1.744,0.0899
c2_zs_U_C512_sesgo,c2_zs_U_C512,24,4.471,4.119,0.351,1.043,0.3042
c2_zs_U_C512_sesgo,c2_zs_U_C512,48,4.704,4.535,0.169,0.478,0.6355
c2_zs_F_C256_sesgo,c2_zs_F_C256,6,4.213,3.471,0.742,2.218,0.0331
c2_zs_F_C256_sesgo,c2_zs_F_C256,12,4.516,3.688,0.828,2.639,0.0123
c2_zs_F_C256_sesgo,c2_zs_F_C256,24,4.469,3.779,0.689,2.19,0.0353
c2_zs_F_C256_sesgo,c2_zs_F_C256,48,4.606,4.018,0.588,2.144,0.039
c2_zs_F_C512_sesgo,c2_zs_F_C512,6,4.498,3.64,0.858,2.348,0.0247
c2_zs_F_C512_sesgo,c2_zs_F_C512,12,4.849,3.951,0.898,2.572,0.0145
c2_zs_F_C512_sesgo,c2_zs_F_C512,24,4.731,3.91,0.821,2.392,0.0222
c2_zs_F_C512_sesgo,c2_zs_F_C512,48,4.827,4.095,0.732,2.251,0.0308
ttm_ft5_F_sesgo,ttm_ft5_F,6,4.154,3.76,0.394,1.494,0.1441
ttm_ft5_F_sesgo,ttm_ft5_F,12,4.338,3.968,0.37,1.473,0.1496
ttm_ft5_F_sesgo,ttm_ft5_F,24,4.27,4.005,0.265,1.052,0.3001
ttm_ft5_F_sesgo,ttm_ft5_F,48,4.566,4.43,0.136,0.487,0.6292
