config,H,MAE,MAE_naive24,MASE
xgb_E1,6,3.428,4.914,0.698
xgb_E1,12,3.73,4.942,0.755
xgb_E1,24,3.921,4.791,0.818
xgb_E1,48,4.388,5.164,0.85
xgb_E3,6,3.491,4.914,0.711
xgb_E3,12,3.76,4.942,0.761
xgb_E3,24,3.927,4.791,0.82
xgb_E3,48,4.372,5.164,0.847
c2_zs_U_C512,6,3.631,4.914,0.739
c2_zs_U_C512,12,4.009,4.942,0.811
c2_zs_U_C512,24,4.119,4.791,0.86
c2_zs_U_C512,48,4.535,5.164,0.878
c2_zs_F_C256,6,3.471,4.914,0.706
c2_zs_F_C256,12,3.688,4.942,0.746
c2_zs_F_C256,24,3.779,4.791,0.789
c2_zs_F_C256,48,4.018,5.164,0.778
ttm_zs_U,6,3.676,4.914,0.748
ttm_zs_U,12,3.915,4.942,0.792
ttm_zs_U,24,4.001,4.791,0.835
ttm_zs_U,48,4.424,5.164,0.857
ttm_ft5_F,6,3.588,4.914,0.73
ttm_ft5_F,12,3.715,4.942,0.752
ttm_ft5_F,24,3.777,4.791,0.788
ttm_ft5_F,48,4.195,5.164,0.812
ens_ctx_F,6,3.536,4.914,0.72
ens_ctx_F,12,3.753,4.942,0.759
ens_ctx_F,24,3.794,4.791,0.792
ens_ctx_F,48,3.984,5.164,0.771
