familia,modelo,escenario,H,MAE,RMSE,MAPE,R2,t_inferencia_s,contexto,covariables
XGBoost,xgboost,E1_univariante,6,3.4284159558916847,4.457718124338983,16.980581279191615,0.3549138787068558,0.0070951631674284,48,ninguna (48 lags)
TTM,ttm,E2_ft_univariante_5pct,6,3.5751431028174343,4.572685671944059,17.475602074291107,0.3212103844162634,9.592825921976732e-05,512,"ninguna (few-shot 5%, 18 épocas)"
Chronos-2,chronos2,E1_zs_univariante,6,3.631422247987576,4.718557676583748,17.431430126109504,0.2772118431413412,0.0016354318342766,512,ninguna
XGBoost,xgboost,E1_univariante,12,3.730164542728,4.9524996103807055,17.863267323072023,0.358344599364777,0.0070951631674284,48,ninguna (48 lags)
TTM,ttm,E4_ft_exog_futuras_5pct,12,3.762800106825652,4.949228484503354,17.637961360142953,0.3591919461904123,0.0003899442408173,512,"meteo futuras (control), mix_channel (5%, 49 ep)"
Chronos-2,chronos2,E4_ft_univariante,12,3.9494733796296297,5.11807007006101,18.101918069249407,0.3147241789318232,0.0063953175008969,512,ninguna (LoRA 500 pasos)
TTM,ttm,E4_ft_exog_futuras_5pct,24,3.809861280741514,4.898856717169498,17.5548528542418,0.2911502496806543,0.0003899442408173,512,"meteo futuras (control), mix_channel (5%, 49 ep)"
XGBoost,xgboost,E2_meteo_naive,24,3.863869358477769,5.003808343804286,18.21840879148986,0.2604525395910936,0.0074502754141576,48,meteo futura por persistencia
Chronos-2,chronos2,E3_zs_multi_futuras,24,3.9756126748190974,5.0221014249924485,18.12810151238237,0.2550353333553211,0.0278353530819812,512,proceso pasadas + meteo futuras reales
Chronos-2,chronos2,E3_zs_multi_futuras,48,4.19765583925777,5.24385032454584,19.157876173979474,0.221511661748917,0.0278353530819812,512,proceso pasadas + meteo futuras reales
TTM,ttm,E4_ft_exog_futuras_5pct,48,4.285253035359912,5.325688764410602,19.567876593946465,0.1970230070335993,0.0003899442408173,512,"meteo futuras (control), mix_channel (5%, 49 ep)"
XGBoost,xgboost,E2_meteo_naive,48,4.31161473872485,5.432131684848191,20.3393947489252,0.1646045298801861,0.0074502754141576,48,meteo futura por persistencia
