modelo,config,H,n_ventanas,MAE,RMSE,MAPE,R2
xgboost,xgb_dir_U,6,36,3.4114990751074736,4.48336238743122,16.77298616819291,0.3474704553421607
xgboost,xgb_dir_U,12,36,3.698917198181152,4.902097351871934,17.43876105664224,0.37133856812612853
xgboost,xgb_dir_U,24,36,3.8198318868654746,4.945096932406923,17.424904393315614,0.27770545658335866
xgboost,xgb_dir_U,48,36,4.293376576988785,5.40530097026256,19.423226872927838,0.17283662136529976
xgboost,xgb_dir_F,6,36,3.4683670112064906,4.525838573128558,17.313820304864684,0.3350475185019136
xgboost,xgb_dir_F,12,36,3.769167718887329,4.9995458222743245,17.89933879815729,0.34609590031631654
xgboost,xgb_dir_F,24,36,3.880824580192566,5.019220489256989,17.790100200632114,0.25588978831916875
xgboost,xgb_dir_F,48,36,4.327834910882843,5.482914170941685,19.650622369040246,0.14891206881259167
xgboost,xgb_rec_E1,6,36,3.4284159558916847,4.457718124338983,16.980581279191615,0.35491387870685587
xgboost,xgb_rec_E1,12,36,3.7301645427279997,4.9524996103807055,17.863267323072023,0.35834459936477703
xgboost,xgb_rec_E1,24,36,3.9209507222528805,5.054068717795769,18.15510458125609,0.24552126938199237
xgboost,xgb_rec_E1,48,36,4.388399758206473,5.487212504873175,20.33370980949665,0.14757712393953903
xgboost,xgb_rec_E3,6,36,3.491271573273593,4.509652988776078,17.55383503399413,0.33979510252994927
xgboost,xgb_rec_E3,12,36,3.7604061539967857,4.9858700083001555,18.264314077624363,0.3496684007795251
xgboost,xgb_rec_E3,24,36,3.927437678001545,5.020797872647786,18.376530627994946,0.25542201387998387
xgboost,xgb_rec_E3,48,36,4.372207479653535,5.439793217359356,20.455806400250815,0.1622463679186532
chronos2,c2_zs_U_C128,6,36,3.7001608061916613,4.799827158522954,18.405632021567815,0.2520997309512638
chronos2,c2_zs_U_C128,12,36,3.913506156073676,5.095513384976063,18.776862841078472,0.3207512508275103
chronos2,c2_zs_U_C128,24,36,3.9513525488641528,5.075968030038715,18.417394896814198,0.2389687817060746
