modelo,H,XGBoost,Chronos-2,TTM
XGBoost,6,1.0,0.825889925844134,0.9923721200182585
Chronos-2,6,0.825889925844134,1.0,0.8847411585960431
TTM,6,0.9923721200182585,0.8847411585960431,1.0
XGBoost,12,1.0,0.8258899258441346,0.9698384289624071
Chronos-2,12,0.8258899258441346,1.0,0.6875127736847986
TTM,12,0.9698384289624071,0.6875127736847986,1.0
XGBoost,24,1.0,0.22480935414322478,0.9698384289624071
Chronos-2,24,0.22480935414322478,1.0,0.14281344508052485
TTM,24,0.9698384289624071,0.14281344508052485,1.0
XGBoost,48,1.0,0.9698384289624069,0.6875127736847979
Chronos-2,48,0.9698384289624069,1.0,0.8258899258441346
TTM,48,0.6875127736847979,0.8258899258441346,1.0
