modelo,cov,param,MAE48_val,MAEmedio_val
chronos2,U,64,3.5435063388612535,3.4376893879768353
chronos2,U,128,3.366937508790389,3.1957258931104686
chronos2,U,256,3.2773606054333673,3.0585844584478847
chronos2,U,512,3.3031496903516246,3.0453689854386923
chronos2,U,1024,3.2848900231071143,3.0895132253135458
chronos2,F,64,3.453468832071277,3.332953265577123
chronos2,F,128,3.323734647087429,3.152062889078389
chronos2,F,256,3.3194975884064384,3.0720517070915387
chronos2,F,512,3.297595110976178,3.0543856426080067
chronos2,F,1024,3.23151066918304,3.0540919851565707
xgboost,U,24,3.453358358922212,3.2499646109601725
xgboost,U,48,3.5551425049961476,3.365231991591661
xgboost,U,96,3.4257365350446842,3.2637342206118767
xgboost,U,168,3.3679805464675465,3.2102852167081144
xgboost,F,24,3.562685207698656,3.3142136112503384
xgboost,F,48,3.6172162100197616,3.440825806666112
xgboost,F,96,3.4862161310168283,3.2906142145999966
xgboost,F,168,3.3612371036280755,3.208664560197056
