modelo,semilla,H,MAE
xgb_E1,0,6,3.4284159558916847
xgb_E1,0,12,3.7301645427279997
xgb_E1,0,24,3.9209507222528805
xgb_E1,0,48,4.388399758206473
xgb_E1,1,6,3.4284159558916847
xgb_E1,1,12,3.7301645427279997
xgb_E1,1,24,3.9209507222528805
xgb_E1,1,48,4.388399758206473
xgb_E1,2,6,3.4284159558916847
xgb_E1,2,12,3.7301645427279997
xgb_E1,2,24,3.9209507222528805
xgb_E1,2,48,4.388399758206473
xgb_E1,3,6,3.4284159558916847
xgb_E1,3,12,3.7301645427279997
xgb_E1,3,24,3.9209507222528805
xgb_E1,3,48,4.388399758206473
xgb_E1,42,6,3.4284159558916847
xgb_E1,42,12,3.7301645427279997
xgb_E1,42,24,3.9209507222528805
xgb_E1,42,48,4.388399758206473
c2_lora_U,0,6,3.658475529100529
c2_lora_U,0,12,3.9494849537037036
c2_lora_U,0,24,4.029221643518518
c2_lora_U,0,48,4.474626736111111
c2_lora_U,1,6,3.6659986772486772
c2_lora_U,1,12,3.9541030092592595
c2_lora_U,1,24,4.027294560185185
c2_lora_U,1,48,4.474733796296296
c2_lora_U,2,6,3.662526455026455
c2_lora_U,2,12,3.9512326388888885
c2_lora_U,2,24,4.028764467592593
c2_lora_U,2,48,4.475052083333333
c2_lora_U,3,6,3.662815806878307
c2_lora_U,3,12,3.953888888888889
c2_lora_U,3,24,4.0304166666666665
c2_lora_U,3,48,4.474486400462963
c2_lora_U,42,6,3.658475529100529
c2_lora_U,42,12,3.9494733796296297
c2_lora_U,42,24,4.026872106481481
c2_lora_U,42,48,4.474103009259259
c2_lora_F,0,6,3.630188492063492
c2_lora_F,0,12,3.957077546296296
c2_lora_F,0,24,3.934956597222222
c2_lora_F,0,48,4.127094907407407
c2_lora_F,1,6,3.6272949735449735
c2_lora_F,1,12,3.9551967592592594
c2_lora_F,1,24,3.932957175925926
c2_lora_F,1,48,4.125866608796296
c2_lora_F,2,6,3.630188492063492
c2_lora_F,2,12,3.955775462962963
c2_lora_F,2,24,3.931267361111111
c2_lora_F,2,48,4.124205729166666
c2_lora_F,3,6,3.6252695105820103
c2_lora_F,3,12,3.955630787037037
c2_lora_F,3,24,3.9343778935185183
c2_lora_F,3,48,4.127167245370369
c2_lora_F,42,6,3.6255588624338624
c2_lora_F,42,12,3.9564988425925924
c2_lora_F,42,24,3.933075810185185
c2_lora_F,42,48,4.125069444444444
ttm_ft5_U,0,6,3.7329380930037726
ttm_ft5_U,0,12,4.0102852710971115
ttm_ft5_U,0,24,4.033028742074966
ttm_ft5_U,0,48,4.471226721582589
ttm_ft5_U,1,6,3.717094761278263
ttm_ft5_U,1,12,3.9485771301057606
ttm_ft5_U,1,24,3.9869182984917253
ttm_ft5_U,1,48,4.402028924977337
ttm_ft5_U,2,6,3.707593048337906
ttm_ft5_U,2,12,3.9521255567338724
ttm_ft5_U,2,24,4.004354842150653
ttm_ft5_U,2,48,4.396205377755342
ttm_ft5_U,3,6,3.5867715714722084
ttm_ft5_U,3,12,3.8178672302210774
ttm_ft5_U,3,24,3.911604591519744
ttm_ft5_U,3,48,4.384144905341996
ttm_ft5_U,42,6,3.5751431028174343
ttm_ft5_U,42,12,3.79913105752733
ttm_ft5_U,42,24,3.869106165656337
ttm_ft5_U,42,48,4.3298017330081375
ttm_ft5_F,0,6,3.9275815247732493
ttm_ft5_F,0,12,4.095175195093508
ttm_ft5_F,0,24,4.183135626404374
ttm_ft5_F,0,48,4.596147128961705
ttm_ft5_F,1,6,3.6358109861959225
ttm_ft5_F,1,12,3.87215931698128
ttm_ft5_F,1,24,3.9722366579373674
ttm_ft5_F,1,48,4.403381957080629
ttm_ft5_F,2,6,3.945887305395943
ttm_ft5_F,2,12,4.105530426237318
ttm_ft5_F,2,24,4.0803557085990905
ttm_ft5_F,2,48,4.518212122917175
ttm_ft5_F,3,6,3.689506208556039
ttm_ft5_F,3,12,3.8920043745747313
ttm_ft5_F,3,24,3.951000504537865
ttm_ft5_F,3,48,4.4363946233634595
ttm_ft5_F,42,6,3.818199931351596
ttm_ft5_F,42,12,4.098966230286492
ttm_ft5_F,42,24,4.173714733300386
ttm_ft5_F,42,48,4.577213866769531
