modelo,config,bloque_mes,H,n_ventanas,MAE,RMSE,R2
xgb,xgb_E1,2024-06,6,4,2.3602487436930346,2.796122223054692,0.23806253223486307
xgb,xgb_E1,2024-06,12,4,2.1150646098454797,2.58082125732666,0.38820490529176443
xgb,xgb_E1,2024-06,24,4,2.439669512907664,3.1635784241223486,0.310300768812507
xgb,xgb_E1,2024-06,48,4,2.788550185759862,3.530950164566605,0.15938504043441903
xgb,xgb_E3,2024-06,6,4,2.9226795005798345,3.2991878062633004,-0.060769696993283606
xgb,xgb_E3,2024-06,12,4,2.5494491132100427,3.0253882708285333,0.15927807419995976
xgb,xgb_E3,2024-06,24,4,2.8855537788073224,3.6031216743587966,0.1053351225925293
xgb,xgb_E3,2024-06,48,4,3.0310254176457723,3.7382539617730712,0.057781682818389024
c2,c2_zs_U_C512,2024-06,6,4,2.2930760320027677,2.6995552515143557,0.289782336991634
c2,c2_zs_U_C512,2024-06,12,4,2.1879913981755577,2.605331987036901,0.37652896884287645
c2,c2_zs_U_C512,2024-06,24,4,2.5082533431053164,3.127902975406189,0.3257684386450167
c2,c2_zs_U_C512,2024-06,48,4,3.1004346382617953,3.8807464917992727,-0.015417129662526952
c2,c2_zs_F_C256,2024-06,6,4,2.4882865142822275,2.96706654013753,0.14205074815642194
c2,c2_zs_F_C256,2024-06,12,4,2.320442328453064,2.863059731276476,0.24707632466661034
c2,c2_zs_F_C256,2024-06,24,4,2.940925582249959,3.854232881883486,-0.02371351393176857
c2,c2_zs_F_C256,2024-06,48,4,3.525781064033508,4.331753011439244,-0.2651479332579376
ttm,ttm_zs_U,2024-06,6,4,2.3953047116597497,2.8031862639496294,0.2342077963424547
ttm,ttm_zs_U,2024-06,12,4,2.2995803260803225,2.7391193560190037,0.3108527143881389
ttm,ttm_zs_U,2024-06,24,4,2.660264822642009,3.326203156700281,0.23756982759098855
ttm,ttm_zs_U,2024-06,48,4,2.9920839301745104,3.6236908292454166,0.11464751182222155
ttm,ttm_ft5_F,2024-06,6,4,6.233399783770243,7.842806980446688,-4.994460202461225
ttm,ttm_ft5_F,2024-06,12,4,6.00410278081894,8.104279781658908,-5.0328008285338495
ttm,ttm_ft5_F,2024-06,24,4,8.405353629191717,10.747584812815308,-6.960205762334273
ttm,ttm_ft5_F,2024-06,48,4,8.434357357819875,10.754653428957074,-6.798422810380378
xgb,xgb_E1,2024-07,6,28,3.647226996648879,4.823173294396387,-0.3092767318705081
xgb,xgb_E1,2024-07,12,28,3.4973731555257523,4.595032491018531,-0.0986907138967279
xgb,xgb_E1,2024-07,24,28,3.5000248224318975,4.558347885520443,-0.04011262970065066
xgb,xgb_E1,2024-07,48,28,3.713522574723713,4.83522802641732,-0.1945643212732846
xgb,xgb_E3,2024-07,6,28,3.542417214030311,4.402807240120725,-0.09100078058255567
xgb,xgb_E3,2024-07,12,28,3.8390053657123016,4.688400916963234,-0.14379387121435716
